t,i0,i1,i2,i3,i4,i5,i6,i7
357,197,0,0,0,0,0,0,0
358,198,0,0,0,0,0,0,0
359,198,0,0,0,0,0,0,0
360,199,0,0,0,0,0,0,0
361,199,0,0,0,0,0,0,0
362,200,0,0,0,0,0,0,0
363,200,0,0,0,0,0,0,0
364,201,0,0,0,0,0,0,0
365,201,0,0,0,0,0,0,0
366,202,0,0,0,0,0,0,0
367,202,0,0,0,0,0,0,0
368,203,0,0,0,0,0,0,0
369,203,0,0,0,0,0,0,0
370,204,0,0,0,0,0,0,0
371,204,0,0,0,0,0,0,0
372,205,0,0,0,0,0,0,0
373,205,0,0,0,0,0,0,0
374,206,0,0,0,0,0,0,0
375,206,0,0,0,0,0,0,0
376,207,0,0,0,0,0,0,0
377,207,0,0,0,0,0,0,0
378,208,0,0,0,0,0,0,0
379,208,0,0,0,0,0,0,0
380,209,0,0,0,0,0,0,0
381,209,0,0,0,0,0,0,0
382,210,0,0,0,0,0,0,0
383,210,0,0,0,0,0,0,0
384,211,0,0,0,0,0,0,0
385,211,0,0,0,0,0,0,0
386,212,0,0,0,0,0,0,0
387,212,0,0,0,0,0,0,0
388,213,0,0,0,0,0,0,0
389,213,0,0,0,0,0,0,0
390,214,0,0,0,0,0,0,0
391,214,0,0,0,0,0,0,0
392,215,0,0,0,0,0,0,0
393,215,0,0,0,0,0,0,0
394,216,0,0,0,0,0,0,0
395,216,0,0,0,0,0,0,0
396,217,0,0,0,0,0,0,0
397,217,0,0,0,0,0,0,0
398,218,0,0,0,0,0,0,0
399,218,0,0,0,0,0,0,0
400,219,0,0,0,0,0,0,0
401,219,0,0,0,0,0,0,0
402,220,0,0,0,0,0,0,0
403,220,0,0,0,0,0,0,0
404,221,0,0,0,0,0,0,0
405,221,0,0,0,0,0,0,0
406,222,0,0,0,0,0,0,0
407,222,0,0,0,0,0,0,0
408,223,0,0,0,0,0,0,0
409,223,0,0,0,0,0,0,0
410,224,0,0,0,0,0,0,0
411,224,0,0,0,0,0,0,0
412,225,0,0,0,0,0,0,0
413,225,0,0,0,0,0,0,0
414,226,0,0,0,0,0,0,0
415,226,0,0,0,0,0,0,0
416,227,0,0,0,0,0,0,0
417,227,0,0,0,0,0,0,0
418,228,0,0,0,0,0,0,0
419,228,0,0,0,0,0,0,0
420,229,0,0,0,0,0,0,0
421,229,0,0,0,0,0,0,0
422,230,0,0,0,0,0,0,0
423,230,0,0,0,0,0,0,0
424,231,0,0,0,0,0,0,0
425,231,0,0,0,0,0,0,0
426,232,0,0,0,0,0,0,0
