t,i,dest_port,size
1967,3,-1,-1
1967,4,-1,-1
1967,5,-1,-1
1967,6,-1,-1
1967,7,-1,-1
1968,0,0,160
1968,1,0,160
1968,2,-1,-1
1968,3,-1,-1
1968,4,-1,-1
1968,5,-1,-1
1968,6,-1,-1
1968,7,-1,-1
1969,0,0,160
1969,1,0,160
1969,2,-1,-1
1969,3,-1,-1
1969,4,-1,-1
1969,5,-1,-1
1969,6,-1,-1
1969,7,-1,-1
1970,0,0,160
1970,1,0,160
1970,2,-1,-1
1970,3,-1,-1
1970,4,-1,-1
1970,5,-1,-1
1970,6,-1,-1
1970,7,-1,-1
1971,0,0,160
1971,1,0,160
1971,2,-1,-1
1971,3,-1,-1
1971,4,-1,-1
1971,5,-1,-1
1971,6,-1,-1
1971,7,-1,-1
1972,0,0,160
1972,1,0,160
1972,2,-1,-1
1972,3,-1,-1
1972,4,-1,-1
1972,5,-1,-1
1972,6,-1,-1
1972,7,-1,-1
1973,0,0,160
1973,1,0,160
1973,2,-1,-1
1973,3,-1,-1
1973,4,-1,-1
1973,5,-1,-1
1973,6,-1,-1
1973,7,-1,-1
1974,0,0,160
1974,1,0,160
1974,2,-1,-1
1974,3,-1,-1
1974,4,-1,-1
1974,5,-1,-1
1974,6,-1,-1
1974,7,-1,-1
1975,0,0,160
1975,1,0,160
1975,2,-1,-1
1975,3,-1,-1
1975,4,-1,-1
1975,5,-1,-1
1975,6,-1,-1
1975,7,-1,-1
1976,0,0,160
1976,1,0,160
1976,2,-1,-1
1976,3,-1,-1
1976,4,-1,-1
1976,5,-1,-1
1976,6,-1,-1
1976,7,-1,-1
1977,0,0,160
1977,1,0,160
1977,2,-1,-1
1977,3,-1,-1
1977,4,-1,-1
1977,5,-1,-1
1977,6,-1,-1
1977,7,-1,-1
1978,0,0,160
1978,1,0,160
1978,2,-1,-1
1978,3,-1,-1
1978,4,-1,-1
1978,5,-1,-1
1978,6,-1,-1
1978,7,-1,-1
1979,0,0,160
1979,1,0,160
1979,2,-1,-1
1979,3,-1,-1
1979,4,-1,-1
1979,5,-1,-1
1979,6,-1,-1
1979,7,-1,-1
1980,0,0,160
1980,1,0,160
1980,2,-1,-1
1980,3,-1,-1
1980,4,-1,-1
1980,5,-1,-1
1980,6,-1,-1
1980,7,-1,-1
1981,0,0,160
1981,1,0,160
1981,2,-1,-1
1981,3,-1,-1
1981,4,-1,-1
1981,5,-1,-1
1981,6,-1,-1
1981,7,-1,-1
1982,0,0,160
1982,1,0,160
1982,2,-1,-1
1982,3,-1,-1
1982,4,-1,-1
1982,5,-1,-1
1982,6,-1,-1
1982,7,-1,-1
1983,0,0,160
1983,1,0,160
1983,2,-1,-1
1983,3,-1,-1
1983,4,-1,-1
1983,5,-1,-1
1983,6,-1,-1
1983,7,-1,-1
1984,0,0,160
1984,1,0,160
1984,2,-1,-1
1984,3,-1,-1
1984,4,-1,-1
1984,5,-1,-1
1984,6,-1,-1
